,orig,fix
0,Lao Tzu Gia-Fu Feng,Lao Tzu
1,"Matthew Walker, PhD",Matthew Walker PhD
2,"Jahan Ramazani Ph.D., Richard Ellmann, Robert O'Clair (editors)","Jahan Ramazani Ph.D., Richard Ellmann, Robert O'Clair"
3,"Richard Evans Schultes, Hofmann,","Richard Evans Schultes, Albert Hofmann"
4,"Hay, John. Nicolay","John Nicolay, John Hay"
5,"Marin Luther King, Jr.",Martin Luther King Jr.
6,"Homer, Emily Wilson (translator)","Homer, Emily Wilson"
7,"Sacred Economics: Money, Gift, and Society in the Age of Transition",Charles Eisenstein
8,Charles T. Tart (Editor),Charles T. Tart
9,Eknath Easwaran (translation),Eknath Easwaran
10,Francis Mallmann^Peter Kaminsky,"Francis Mallmann, Peter Kaminsky"
11,Gudrun Bhnemann,Gudrun Bühnemann
12,Laozi,Lao Tzu
13,Malcom Gladwell,Malcolm Gladwell
14,Ren Girard,René Girard
15,Rene Mauborgne,Renée Mauborgne
16,The 4-Hour Workweek,Tim Ferriss
17,Chip & Dan Heath,"Chip Heath, Dan Heath"
18,Antoine de Saint-Exupry,Antoine de Saint-Exupéry
19,Bren  Brown,Brené Brown
20,Bren Brown,Brené Brown
21,Brian Graver,Brian Grazer
22,Marie Kond_,Marie Kondo
23,Seneca / Tim Ferriss,"Seneca, Tim Ferriss"
24,Radical Acceptance: Embracing Your Life With the Heart of a Buddha,Tara Brach
25,Jim Paul and Brendan Moynihan and,"Jim Paul, Brendan Moynihan"
26,Col. David H. Hackworth,David H. Hackworth
27,Colonel David H. Hackworth,David H. Hackworth
28,Doc Lew Childre,Dr. Lew Childre
29,A.J. Jacobs,A. J. Jacobs
30,Kelly Hoppen M.B.E.,Kelly Hoppen
31,General Stanley McChrystal,Stanley McChrystal
32,Harville Hendrix Ph.D.,Harville Hendrix
33,James Fadiman Ph.D.,James Fadiman
34,Marin Luther King Jr.,Martin Luther King Jr.
35,Tools of Titans,Timothy Ferriss
36,Tim Ferriss,Timothy Ferriss